书名,价格,原价,作者,出版时间,出版社,简介
 见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋江人气作者 纵虎嗅花 催泪之作！）,¥42.30,['¥49.80'],['纵虎嗅花'],2023-01-01,北京联合出版有限公司,★ 晋江收藏量超35万、高口碑校园催泪之作！ 人气作者纵虎嗅花：晋江总积分近30亿、点击量破千万！ ★安静软糯小绵羊 江渡 清冷英俊学霸 魏清越 捉刀客同学，你才是给我写信的人，对吗？ 我一直静候佳音，期盼你的来信，知名不具。 ★ 他手里没有一件她的遗物， 不过，他想，他本身就是她的一件遗物，永远的遗物。 她是他青春里的图腾，他是图腾的祭品。 物换星移，春秋几度，她还是十六岁的模样。 愿再见，愿再见，愿再见。 ★随书附赠 人设珠光明信片 2、回忆底片、头像贴纸、QQ留言卡、信纸、双人海报
 龙族3黑月之潮・下,¥31.30,['¥36.80'],['江南'],2013-12-01,长江出版社,我们都是小怪兽，都将被正义的奥特曼，杀死！ 【逆命之主】【天谴之矛】【龙舞东京】【狂樱震怒】 樱花与怒火、旧事与幽灵、黑日与圣剑 王与王的战斗！不死不休！ 《知音漫客》周刊、《漫客小说绘》漫画 小说火热连载中！千万读者热烈追捧！ 所有人都在追看《龙族》 *经典的热血幻想小说，十年一遇，没有之一！ 神的诞生，将以万民的生命为祭祀！ 绘梨衣;路明非，小怪兽们的樱花之旅，浪漫满路！ 源稚女;源稚生，双生兄弟的宿命之绊，血染红井！ 橘政宗;王将，黑天鹅港的亡命之魂，不死不休！ 即使是天下之恶，复仇的魔鬼，也会被悲哀吞没。
 苍穹山记全二册 墨香铜臭 手写出版后记+手写印签+惊喜印签绘 精装书盒典藏版 墨香铜臭 原名人渣反派自救系统 洛冰河×沈,¥108.00,['¥117.00'],['墨香铜臭'],2025-10-30,广东旅游出版社,★墨香铜臭，全球知名畅销作家，著有《人渣反派自救系统》《魔道祖师》《天官赐福》，晋江专栏收藏数超170万，作品横跨四大洲翻译出版美、日、韩、德、法、俄、越、泰、巴等十多个版本，多次创下国内作品的海外销售记录。其作品风格浪漫，情感强烈，独具个性，令万千读者极具共鸣，久久不忘，引发海内外阅读热潮。 ★《苍穹山记：全二册》（晋江原名：《人渣反派自救系统》）晋江文学城平台积分超200亿，收藏超100万，首章点击超200万，霸王票全站第五。 ★全新修订，重磅推出！实体书新增超两万字全新番外+作者手写出版后记+前环衬作者手写印签+后环衬作者手写惊喜印签绘。典藏精装书盒+裸脊锁线硬壳精装，随书附赠精美周边，极具收藏价值！ ★洛冰河 沈清秋，世人流传的故事已经结束。而你我之间的故事，才刚刚开始。
 没有明天的我们，在昨天相恋【当当定制衔尾蛇镭射怀表X2】第八届网络小说大奖获奖作品,¥42.80,['¥42.80'],['星火燎原', '酷威文化'],2025-04-01,北京日报出版社,高口碑作者星火燎原双向救赎青春物语。第八届网络小说大奖获奖作品、 成为小说家吧 恋爱类月榜TOP1。 一块能够回溯时间的怀表，一场生死不渝的恋爱，媲美新海诚《你的名字》治愈催泪奇幻之作。我会救你，千千万万次；我会爱你，于生命之上。 人生毫无意义，直到我遇见你。这满溢而出的爱意，正是我梦寐已久的命运。 这本书里有初恋、成长、迷茫与希望，希望你哭过之后，能够燃起前进的勇气，勇敢地面对命运。 随书附赠：时间回溯卡 希望骰子 拯救观察记录。
 那个不为人知的故事 Twentine（无量渡口）BE美学代表作品,¥35.70,['¥42.00'],['Twentine', '酷威文化'],2020-10-01,四川文艺出版社,★超人气作者Twentine（无量渡口）经典催泪之作，全文精心修订，直击心底深处的柔软。 ★豆瓣评分8.6，微博评分9.9，同名影视正在筹拍中，千万粉丝翘首企盼。 ★这是关于杨昭和陈铭生的故事，一个女人爱上了一个男人，普通、简单，又格外直白；这是关于卧底缉毒警察的故事，如此平凡，又如此伟大。 ★这世间很难有一个杨昭，却注定有千千万万个陈铭生。他们被人铭记，也被人遗忘，却一直向前，不曾回头。 ★他是她的理想国，她是他的憩息所。 有生之年，幸得有你。无惧黑暗，只待白日。 ★随书附赠精美祈愿卡
 朝俞1+2伪装学渣 限定正面白版护封+背面黑版护封套装 青春畅销小说实体书 当当自营,¥75.60,['¥79.60'],['木瓜黄', '力潮文创'],2023-05-01,广东旅游出版社,★原版销量超百万册！精心修订，重版再来！晋江年度榜上有名现象级青春小说！ ★外封珠光纸工艺 内封特种纸烫金独立别致设计，精美印刷。书中含作者木瓜黄印特签版回馈新老读者 正背彩色插图拉页。 ★随书赠： 特种纸藏书票1枚 大海报1张 朝俞同框卡1张
 龙族1-3礼盒套装修订版 赠绘梨衣Q版冰箱贴 江南著 共5册,¥240.00,['¥240.00'],['江南'],2022-01-01,人民文学出版社,谨以此书，献给所有有梦想的衰小孩 中国幻想扛鼎之作，畅销奇迹 三年修订，六万字新篇，易筋锻骨 青春永在，热血不冷 每个人都曾是荒原上的孩子，走出去的那个是扛起战旗的王
 她不哄他了 （高人气BE美学口碑新作。新生代人气作者秋日凉首本青春校园代表作。超百万读者阅读，番茄小说青春校园阅读榜To,¥49.40,['¥52.00'],['秋日凉', '欣欣向爱'],2024-06-08,广东旅游出版社,
 八目迷冬 永冬无境，幻梦残墟（赠亚克力透卡1张+明信片2张）八目迷时空与四季系列之“时间循环之冬”,¥41.60,['¥52.00'],['八目迷', 'KUKKA', '天闻角川', '冯锦源'],2025-09-01,百花洲文艺出版社,日本新秀小说家八目迷 时空与四季 系列迎来 时间循环之冬 第13届小学馆轻小说大奖、GAGAGA大奖审查员特别奖获奖作家八目迷新作 大热动画电影《通往夏天的隧道，再见的出口》原作者新作
 见春天 北方有雪 晋江知名作家纵虎嗅花作品,¥,,[],,,
 在冬天,¥36.40,['¥42.80'],['余言树', '大鱼文化'],2024-11-01,江苏凤凰文艺出版社,酸涩青春 校园暗恋 BE意难平 读者飙泪推荐 新增万字出版番外 孤勇少女 余愿 恣意少年 陈知让 和陈知让一起去看山茶花，拥有很多个春天， 是余愿未实现的心愿。 如果能有下辈子，她要早点找到陈知让。 我不是紫霞仙子，他却踏月而来，当了一次我的盖世英雄。 卖点一：孤勇少女遇见恣意少年，这场戛然而止的爱恋，处处都是遗憾、错过。 余愿：在父母的宠爱中长大的乖乖女，因为生病被迫中断了芭蕾舞的学习，梦想是早日痊愈，能再跳舞，以及和陈知让能拥有很多个春天。 陈知让：同学眼中的天之骄子，但缺乏父母关爱，跟在奶奶身边长大，是大家心中的 高考状元 人选，却在考试时突发意外翻车。内心虽然有很多遗憾，却只愿意跟余愿诉说。 卖点二：宝藏校园暗恋虐文，细腻催泪的少女心事引发众多读者共鸣！！！ 卖点三： 作者精心撰写全新
 红酒绿 苏他代表作,¥36.40,['¥42.80'],['苏他', '酷威文化'],2023-04-01,江苏凤凰文艺出版社,人气作者苏他浪漫温情之作，诚意新增6000字出版番外《嘘》。 潜水爱好者夏灯 航天工程学霸游风。暗恋成真 双向奔赴。潜水艇会遇见飞行器，我会爱你。 他是她的骑士，终成为她的船长。 精美双封，护封双面印刷，书名烫红工艺，美感质感双在线。 随书附赠：银河海报 灯风明信片 苏他印签拍立得 Q萌折立卡 呼唤雨 船票 电子赠品。
 火旺（全二册）印特签+门诊病历+明信片+书签 网络原名《道诡异仙》,¥94.60,['¥99.60'],['狐尾的笔', '长江新世纪'],2024-11-01,广东花城出版社,★ 网络原名《道诡异仙》！东方民俗与西方克苏鲁的极致碰撞，神秘坐忘道的起源，怪诞烧脑，狠狠发癫！ ★现象级爆红破圈神文，东方克苏鲁扛鼎之作。入藏中国国家版本馆、上海图书馆。 ★ 封面精美，纸页考究护眼，手持舒服，阅读体验好。
 成何体统全2册 丞磊 王楚然爱奇艺同名热播电视剧 人气作家七英俊脑洞奇诡的反套路宫廷文 反转到最后一刻 当当自营,¥39.90,['¥79.80'],['七英俊', '博集天卷'],2022-03-01,湖南文艺出版社,◆七英俊，中国作协会员，超人气小说作家，脑洞清奇多变，文风轻松有趣。 2012年开始创作小说；2017年加入浙江省省网络作协，是杭州市作协成员；2019年加入中国作家协会会员。2019年，第三届中国 网络文学 大会荣获 年度十佳潜力新人 ，先后被授予 微博2019十大影响力读书大V 和 微博2021十大影响力读书大V 的称号； ◆《成何体统》作品微博超话阅读量超5千万，故事节奏明快，反转不断，情节设置张力十足，让无数读者从前期爆笑到结尾爆哭，看完后情绪久久不能平息； ◆图书汇集RedMatcha、�x城、罐一一等知名插画家作品，装帧精美，值得收藏； ◆书中汇总了各个主要配角的人物小传，新增番外； ◆随书附赠《吾妻晚音》书信折页及小火锅贴纸等周边赠品；
 奇洛李维斯回信（高人气作者清明谷雨口碑代表作！）,¥33.60,['¥56.00'],['清明谷雨', '博集天卷'],2025-07-01,上海文化出版社,★原创人气文学，高人气作者清明谷雨口碑代表作！富士山不远，月亮也真的可以私有。 ★随书附赠 万水千山 拍立得两张、 椰子 和 回信 名场面两张、作者手写信、新增番外信、 宝莉湾一期发布会 邀请函、 菠萝山竹 打卡板和猫猫小卖铺Q版贴纸。 ★新增出版两万字番外《成人礼礼物》。 ★内文选用73g米黄胶版纸，质感细腻。内含精美彩插。 ★封面可四层拆封，双封设计，封面烫金工艺，精致考究，具有收藏价值。
 以你为名的夏天 上下 完结篇 套装 印特签 任凭舟,¥100.30,['¥105.60'],['任凭舟'],2024-08-01,敦煌文艺出版社,
 将进酒终章（共2册）【印特签版+定制专属印签海报+头像贴纸】唐酒卿,¥78.00,['¥78.00'],['唐酒卿', '酷威文化'],2023-03-01,天地出版社,人气作家唐酒卿古风代表作，全网热评推荐的高口碑作品，掀起古风权谋小说阅读热潮。 离北将军萧弛野 中博枭主沈泽川，双雄联手，看其如何翻云覆雨，搅动天下风云！ 宏大的故事构架，浓烈入骨的情感，复杂诡辩的权谋，执着坚守的理想！这个世上没有既定的命运，每个人都在创造自己的人生。 收录两则番外《新年》《那年》，一起看尘埃落定后属于他们的故事。 创意折页封面设计，随书附赠：海报 松玉藏书票 策舟明信片 Q萌异形刮刮卡 书签 电子壁纸。
 龙族1：火之晨曦（修订版）,¥43.00,['¥43.00'],['江南'],2020-10-01,人民文学出版社,有时候，你留着命，就是等着把它豁出去的那一天 中国幻想扛鼎之作，畅销奇迹 历时三年修订，易筋锻骨 青春永在，热血不冷 你已经手握刀剑，那么就准备战斗。
 他笑时风华正茂【印特签版+当当专享印制作者手写明信片】舒远,¥36.40,['¥42.80'],['舒远', '酷威文化'],2023-11-01,江苏凤凰文艺出版社,人气作者舒远青春暗恋口碑代表作 全新修订版，新增番外《朝花夕誓》《独自等待》《一生挚爱》。 浪子回头池铮 温软情深孟盛楠。青春暗恋 久别重逢 浪子回头 情意绵长。这风华正茂的日子，我想让他迷途知返。 那一年，孟盛楠遇见了那个洒脱不羁的少年。暗恋池铮的第八年，他们恋爱了。蓝天下，风吹过八千里，我们还是我们。 精美双封，护封双面印刷，镭射烫银工艺，超高颜值，质感加持，极具收藏价值。 随书附赠：读书卡 暗恋光栅卡 走近你 抽拉卡 DIY回忆定制复读机 电子赠品。
 同类（人气畅销书作家巫哲救赎之作）,¥50.20,['¥52.80'],['巫哲', '博集天卷'],2023-07-01,上海文化出版社,
 渡厄【印签版+当当定制信纸x2】杨溯,¥42.30,['¥49.80'],['杨溯', '酷威文化'],2024-01-01,天地出版社,人气作者杨溯全新古风力作，作品收藏10万 ，人气热度2700万 ，读者书评6万 ，新增出版番外《新生》。 傲娇大佬百里决明 美人徒弟谢寻微。徒儿，从今往后，师尊为你而活！ 苍苍有灵，念吾所愿。若得吾师重归人世，吾愿用生命交换！ 这一次，无论如何，他不会再逃跑。师尊，我来了。 随书附赠：驱厄御守 人设书签 如故立体摆件 电子赠品
 匪我思存：东宫,¥68.00,['¥68.00'],['匪我思存', '华文天下出品'],2023-02-01,九州出版社,作者 匪我思存 ，新浪微博@ 匪我思存 ，高人气 畅销书 作家。 匪我思存系列 经典珍藏版，即将陆续上市。全新的设计风格，全新的装帧形式，更具收藏价值。 《东宫》是匪我思存最具代表性、最受欢迎的作品，也是广大读者心目中的 be 典范 。 特邀知名插画师重新绘制大量插画，新颖优美，兼具古典与时尚，并由知名设计师结合故事内容，进了全新的 装帧设计， 精致灵动， 独具特色。 封面设计特色：正背双面印刷腰封，正面热烈生动，背面淡雅凄清，呈现出故事人物在不同阶段的心境状态；上下两册封面，分别契合腰封正背两面，读者可随喜好自由组合；锁线裸脊装订，便于平摊阅读，更具古典韵味。 内页设计： 上下两册各8P彩页， 生动 呈现 小枫与小五的相识以来的点点滴滴 ；象牙色内页纸，环保护眼
 蓝：陪安东尼度过漫长岁月VI（首发加赠当当限定赠品：PET菲林胶片x2张）陪安系列的15年暖心陪伴,¥45.60,['¥48.00'],['安东尼'],2023-04-01,湖南文艺出版社,★随书赠品：普鲁斯特问卷*1、不二兔折立卡*2、不二兔异形卡片*1、lomo拾光卡*2、PET菲林胶片*2（限首发！） ★百万畅销书 陪安 系列《红》《橙》《黄》《绿》《青》重磅力作！ ★陪安系列倒数第二本，15年暖心陪伴 即使它是蓝色的 也要清楚的记得每一页都有光 记住朋友的问候 真心的笑容 坚强面对困难的决心 对陌生人的关怀 带着这样的心情 可以拥抱每一个颜色 还有后一本 有点火车快要到站的感觉 我们终点的站台见 好好拥抱 道别 ★高清美图珍藏，打造优质精品图书 ★联手插画艺术家，打造丰富、独特赠品 ★封面240g进口超感纸、彩插100g 进口超感纸，精美装帧，至臻典藏 ★ 陪安 系列书《红》《橙》《黄》《绿》典藏版持续发力 我喜欢我是流动的 2020 2022 SOMETHING NEW 真实故事 | 生活记录 | 刻下记号的瞬间 | 漫长岁月的陪伴
 春日无尽（网络原名《投喂病弱男配》；暖萌系作者可乐姜汤GB向美食治愈之作）,¥39.10,['¥46.00'],['可乐姜汤', '星文文化'],2023-12-01,江苏凤凰文艺出版社,1.暖萌系作者可乐姜汤GB向美食治愈之作，网络原名《投喂病弱男配》。我用美食治愈病弱美男！ 2.病弱失语小可怜闻湛x古灵精怪美食控陆云初。你一无所有，却独享我的美食与温柔。 3.唯美春日同游书封，新增万字惊喜番外！ 4.随书附赠超萌水墨Q图卡两张、唯美双人立卡。
 元气少女缘结神：鞍马山夜话（甜蜜少女系漫画官方中文纪念版首次上市！）,¥27.90,['¥32.80'],['Haruka', '子安秀明', '酷威文化'],2017-01-01,百花洲文艺出版社,★ 火爆中日，甜蜜少女系漫画《元气少女缘结神》，官方治愈小说中文经典纪念版首次上市！秒杀你无处安放的少女心！ ★全新内容收录其中，外加精美的插图，让你体会不一样的元气少女！ ★元气少女奈奈生遇上傲娇闷骚狐狸巴卫君，漂泊已久的少女心终于找到了灵魂的港湾。他用他的一生，陪伴了她整个岁月。 ★我爱她，这个世界*重要的，就算拿任何东西交换也好，也想共度此生。 ★我要保护她不受伤害，更不去伤害她。 重磅推荐： 《夏目友人帐》：高人气治愈系经典动漫初次小说化，中国官方正版授权。夏目、猫老师温暖归来。 《余生请多指教》：万千读者口碑相传的暖心之作。真实恋爱成长回忆录，让人不由自主就会幸福得笑出声来。 《醉流年》：云葭口碑仙侠力作，网络连载点击超百万！中国风仙侠音乐才女董贞，知名新武侠作家藤萍
 陪安东尼度过漫长岁月,¥,,[],,,
 将进酒（共2册）【定制Q版明信片X2】唐酒卿,¥78.00,['¥78.00'],['唐酒卿', '酷威文化'],2020-04-01,江苏凤凰文艺出版社,超人气作家唐酒卿古风权谋代表作，引发全网热议，掀起古风小说阅读热潮。 睚眦必报锦衣卫VS浪荡不羁大将军，新仇旧怨一并爆发，看他们如何在波云诡谲的朝堂之上，寻求生机。 这里有盘根错节的人物关系，有惺惺相惜的守护之情，有不择手段的野心，有肝脑涂地的赤诚，更有阴谋算计与家国大义，烧脑又精彩！ 全新番外独家放送，快来看丁桃的 本子 里都记了些什么！ 这个世上没有既定的命运，每个人都在创造自己的人生。 随书附赠：双主角海报 书封背面人物关系图。
 他在云之南 亲签版 景行高人气经典口碑力作 相遇十年典藏版 新增万字番外+作者前言,¥49.80,['¥49.80'],['景行', '欣梦享'],2025-06-01,江苏凤凰文艺出版社,◆景行高人气经典口碑力作，意难平天花板，催泪感人。 ◆ 相遇十年 典藏版。新增万字番外 作者前言，特别收录祖安的从前 沈寻的之后 程立的情书。 ◆番茄小说超740万人阅读，近10万读者盛赞，评分高达9.8分! ◆随书附赠：程立未寄出的手写情书 作者手写祝福卡 4张主角人设卡。 ◆8P典藏版彩插，还原名场景，【北京家中的露台拥抱】【瑞山陀塔看日出】。彩插最后一页，特别印制作者手写金句。 ◆程立，你要不要回来娶我，一个易拉罐拉环就可以求婚。 ◆在我一生中最黑暗的时光，有一个女人这样偏执地爱着我。 ◆内外双封，外封以机票为元素，程立从云南飞北京的回程票。内页采用 飞上云霄，隐入天际 动态页眉。细节满满，用纸精良，极具收藏价值。
 剑来全套第一二三四五六七八辑全54册 烽火戏诸侯水墨剑来系列剑来桌游典藏版周边雪中悍刀行作者网络长篇古典仙侠力作玄幻武侠,¥0.01,['¥2480'],[],,,
 河清海晏+长命+河清海晏刷边版,¥,,[],,,
 你在月夜里闪耀光辉【当当定制终幕礼票根】第23届电击小说大奖SHOU奖作品！,¥36.40,['¥42.80'],['佐野�匾�', '酷威文化'],2025-01-01,四川文艺出版社,第23届电击小说大奖SHOU奖！上市狂销70万册，同名电影席卷日本票房市场。 纯爱催泪神作 直击心灵的青春纯爱物语，百万读者落泪好评。 直面爱的勇气 即使生命即将走到尽头，我仍要全力以赴地珍爱你。 探寻生命的意义 只要你在，我就不会离去。我等你告诉我，活着的意义。 当愿望一个个消失，她也静静消逝，直至在月夜里发出耀眼的光。 寂静的黑夜里，你发光的脸颊，比遥远的月亮与星星都要清晰而生动。 随书附赠：未言信 愿望清单 带你远行 透卡 电子赠品。
